11,-25,46
15,-17,45
11,-10,58
-24,6,105
-34,4,92
-62,-1,71
-53,-10,68
-42,-14,54
-30,-13,43
-28,-13,38
-9,-11,53
-7,-11,62
-13,-9,64
-9,-9,64
0,-7,62
1,-3,63
1,-1,59
-1,1,51
2,2,49
1,7,49
-3,9,52
-4,12,67
-5,17,75
1,24,73
6,27,70
7,32,76
-9,34,79
-6,34,79
1,28,69
-1,24,64
-10,21,60
-12,18,57
-13,11,51
-14,9,55
-18,5,59
-13,3,61
-17,-1,60
-20,-9,56
-17,-12,56
-18,-14,56
-20,-12,54
-24,-7,52
-27,-5,54
-32,0,56
-35,7,58
-36,9,56
-36,7,54
-36,6,55
-35,6,59
-32,6,60
-26,2,57
-24,-1,56
-25,-3,55
-28,0,54
-28,1,53
-31,4,56
-31,5,58
-28,3,57
-29,5,56
-39,7,54
-41,8,53
-40,9,54
-32,9,61
-33,8,61
-32,2,58
-32,2,56
-30,-1,56
-32,0,53
-42,0,46
-42,-1,45
-39,-2,44
-38,-1,45
-36,-4,47
-33,-6,47
-31,-5,48
-37,-6,48
-47,-2,46
-27,1,52
6,9,64
10,16,76
17,20,88
12,17,78
2,13,61
-2,11,59
-3,7,60
2,8,59
11,10,59
4,16,61
4,16,65
-6,17,61
-13,18,60
-15,14,57
-9,16,60
7,17,67
12,17,66
3,17,61
2,16,60
3,17,61
7,20,63
6,20,63
-8,18,62
-11,19,64
-9,20,62
-7,20,61
-9,19,58
-9,18,59
-7,18,59
1,17,60
0,18,64
-4,17,66
-2,16,64
-7,19,62
-5,20,62
8,15,54
9,16,56
7,21,57
12,16,68
10,13,78
-11,10,78
-6,9,75
10,9,65
9,6,61
1,5,64
-7,3,63
-5,-1,61
-2,-8,56
-1,-12,53
0,-15,51
-2,-15,53
-10,-13,57
-9,-10,61
-10,-6,63
-13,-3,64
-21,1,64
-21,1,64
-22,0,63
-22,-2,59
-24,-3,59
-24,-3,57
-23,-3,57
